Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College,SEASON,RK,NAME,TEAM,SALARY
jeremy lamb,2013-14,21.0,OKC,NBA,78,0.0,1538.0,13.4,0.406,0.105,2.1,11.3,6.9,11.8,1.8,1.4,8.7,20.1,106.0,105.0,1.4,1.8,3.3,0.102,-0.3,-0.9,-1.2,0.3,Virginia,Black,2013,2016,G-F,6-5,185,"May 30, 1992",University of Connecticut,2013-2014,225,"Jeremy Lamb, SG",Oklahoma City Thunder,2111160
carl landry,2013-14,30.0,SAC,NBA,18,1.0,233.0,11.2,0.0,0.283,7.2,20.6,13.8,3.4,0.7,0.3,11.8,14.5,112.0,110.0,0.3,0.1,0.4,0.088,-3.0,-1.9,-4.9,-0.2,Wisconsin,Black,2008,2016,F,6-9,248,"September 19, 1983",Purdue University,2013-2014,92,"Carl Landry, PF",Sacramento Kings,6500000
shane larkin,2013-14,21.0,DAL,NBA,48,0.0,489.0,8.3,0.277,0.182,2.6,7.3,5.0,20.4,2.7,0.2,20.9,17.4,90.0,110.0,-0.4,0.3,-0.1,-0.01,-3.5,-1.2,-4.7,-0.3,Ohio,Black and White,2014,2016,G,5-11,175,"October 2, 1992",University of Miami,2013-2014,255,"Shane Larkin, PG",Dallas Mavericks,1536960
ty lawson,2013-14,26.0,DEN,NBA,62,61.0,2222.0,19.0,0.251,0.504,1.9,8.5,5.2,38.2,2.2,0.3,16.9,22.7,113.0,110.0,4.8,1.5,6.3,0.136,2.9,-1.2,1.7,2.1,Maryland,Black,2010,2016,G,5-11,195,"November 3, 1987",University of North Carolina,2013-2014,49,"Ty Lawson, PG",Denver Nuggets,10786517
ricky ledo,2013-14,21.0,DAL,NBA,11,0.0,33.0,12.7,0.471,0.235,0.0,7.0,3.5,9.5,1.6,0.0,9.6,28.6,99.0,113.0,0.0,0.0,0.0,0.024,-1.6,-5.6,-7.2,0.0,Rhode Island,Black,2014,2015,G,6-7,195,"September 10, 1992",,2013-2014,342,"Ricky Ledo, SG",Dallas Mavericks,544000
courtney lee,2013-14,28.0,TOT,NBA,79,47.0,1973.0,13.8,0.316,0.182,1.7,9.5,5.6,9.3,1.7,1.2,9.9,17.0,113.0,107.0,2.8,1.9,4.7,0.114,0.5,-0.1,0.4,1.2,Indiana,Black,2009,2016,G,6-5,200,"October 3, 1985",Western Kentucky University,2013-2014,111,"Courtney Lee, SG",Memphis Grizzlies,5225000
david lee,2013-14,30.0,GSW,NBA,69,67.0,2288.0,19.1,0.001,0.302,8.8,21.6,15.3,10.9,1.0,0.9,12.0,24.3,111.0,103.0,4.1,3.5,7.6,0.16,-0.1,0.8,0.8,1.6,California,White,2006,2016,F,6-9,245,"April 29, 1983",University of Florida,2013-2014,30,"David Lee, PF",Golden State Warriors,13878000
alex len,2013-14,20.0,PHO,NBA,42,3.0,362.0,7.3,0.0,0.397,12.1,18.6,15.3,1.6,0.6,3.8,22.1,14.3,92.0,106.0,-0.2,0.4,0.2,0.024,-5.7,-0.2,-5.9,-0.4,Ukraine,White,2014,2016,C,7-1,260,"June 16, 1993",University of Maryland,2013-2014,163,"Alex Len, C",Phoenix Suns,3492720
kawhi leonard,2013-14,22.0,SAS,NBA,66,65.0,1923.0,19.4,0.282,0.195,4.6,18.9,12.1,10.4,3.0,1.9,10.3,18.3,116.0,98.0,3.8,3.9,7.7,0.193,2.3,3.4,5.8,3.8,California,Black,2012,2016,F,6-7,230,"June 29, 1991",San Diego State University,2013-2014,237,"Kawhi Leonard, SF",San Antonio Spurs,1887840
meyers leonard,2013-14,21.0,POR,NBA,40,0.0,355.0,9.4,0.066,0.231,8.0,25.5,16.8,7.3,1.0,1.0,13.0,14.2,104.0,105.0,0.2,0.5,0.6,0.086,-3.6,0.4,-3.3,-0.1,Virginia,White,2013,2016,C,7-1,245,"February 27, 1992",University of Illinois at Urbana-Champaign,2013-2014,219,"Meyers Leonard, PF",Portland Trail Blazers,2222160
jon leuer,2013-14,24.0,MEM,NBA,49,0.0,642.0,17.6,0.199,0.191,6.8,22.4,14.6,5.2,1.5,1.7,9.2,21.1,112.0,103.0,1.1,0.9,2.0,0.149,-0.6,-0.9,-1.6,0.1,Minnesota,Black and White,2012,2016,F,6-10,228,"May 14, 1989",University of Wisconsin,2013-2014,311,"Jon Leuer, PF",Memphis Grizzlies,900000
rashard lewis,2013-14,34.0,MIA,NBA,60,6.0,971.0,10.7,0.568,0.14,3.2,10.7,7.1,8.5,2.9,0.7,12.3,14.1,105.0,106.0,0.5,1.1,1.7,0.083,-0.2,0.2,0.1,0.5,Louisiana,Black,1999,2014,F,6-10,215,"August 8, 1979",,2013-2014,268,"Rashard Lewis, PF",Miami Heat,1399507
damian lillard,2013-14,23.0,POR,NBA,82,82.0,2937.0,18.6,0.425,0.327,1.3,9.2,5.3,25.1,1.1,0.5,11.5,25.0,116.0,110.0,7.8,1.8,9.6,0.157,4.4,-1.7,2.7,3.5,California,Black,2013,2016,G,6-3,195,"July 15, 1990",Weber State University,2013-2014,175,"Damian Lillard, PG",Portland Trail Blazers,3202920
jeremy lin,2013-14,25.0,HOU,NBA,71,33.0,2054.0,14.3,0.346,0.4,2.0,7.8,5.1,22.3,1.6,1.0,18.4,20.4,109.0,109.0,2.8,1.6,4.4,0.103,0.6,-1.0,-0.4,0.8,California,Others,2011,2016,G,6-3,200,"August 23, 1988",Harvard University,2013-2014,68,"Jeremy Lin, PG",Houston Rockets,8374646
robin lopez,2013-14,25.0,POR,NBA,82,82.0,2603.0,17.7,0.002,0.376,13.6,15.3,14.5,4.2,0.5,3.7,10.1,14.0,128.0,107.0,7.0,2.6,9.5,0.176,1.4,1.6,3.0,3.3,California,Black and White,2009,2016,C,7-0,255,"April 1, 1988",Stanford University,2013-2014,103,"Robin Lopez, C",Portland Trail Blazers,5904261
kevin love,2013-14,25.0,MIN,NBA,77,77.0,2797.0,26.9,0.355,0.445,8.5,29.5,18.7,21.4,1.0,1.0,10.3,28.8,120.0,104.0,10.6,3.7,14.3,0.245,7.2,1.2,8.4,7.3,California,White,2009,2016,F,6-10,251,"September 7, 1988","University of California, Los Angeles",2013-2014,23,"Kevin Love, PF",Minnesota Timberwolves,14693906
kyle lowry,2013-14,27.0,TOR,NBA,79,79.0,2862.0,20.1,0.463,0.356,3.6,11.5,7.5,34.7,2.2,0.4,13.4,22.9,118.0,106.0,8.4,3.3,11.7,0.197,5.8,0.1,5.9,5.7,Pennsylvania,Black,2007,2016,G,6-0,205,"March 25, 1986",Villanova University,2013-2014,99,"Kyle Lowry, PG",Toronto Raptors,6210000
john lucas,2013-14,31.0,UTA,NBA,42,6.0,591.0,5.2,0.442,0.084,2.3,5.4,3.8,11.1,1.2,0.0,10.0,17.0,87.0,116.0,-0.7,0.0,-0.7,-0.058,-3.7,-3.3,-7.0,-0.7,District of Columbia,Black,2006,2015,G,5-11,165,"November 21, 1982",Oklahoma State University,2013-2014,249,"John Lucas III, PG",Utah Jazz,1600000
shelvin mack,2013-14,23.0,ATL,NBA,73,11.0,1490.0,13.2,0.367,0.148,1.6,10.7,6.2,28.8,1.7,0.1,14.3,19.0,105.0,109.0,1.2,1.2,2.3,0.074,-0.7,-1.7,-2.4,-0.1,Kentucky,Black and White,2012,2016,G,6-3,203,"April 22, 1990",Butler University,2013-2014,318,"Shelvin Mack, PG",Atlanta Hawks,884293
ian mahinmi,2013-14,27.0,IND,NBA,77,1.0,1248.0,10.2,0.005,0.767,10.1,12.9,11.6,2.9,1.7,4.4,18.7,11.4,105.0,97.0,0.7,2.7,3.3,0.129,-3.3,3.6,0.3,0.7,France,Black,2008,2016,C,6-11,250,"November 5, 1986",,2013-2014,143,"Ian Mahinmi, C",Indiana Pacers,4000000
shawn marion,2013-14,35.0,DAL,NBA,76,76.0,2409.0,13.7,0.229,0.092,6.4,17.4,11.9,7.6,1.9,1.3,11.4,15.7,108.0,108.0,2.2,2.1,4.3,0.086,0.0,1.1,1.1,1.9,Illinois,Black,2000,2015,F,6-7,220,"May 7, 1978","University of Nevada, Las Vegas",2013-2014,59,"Shawn Marion, SG",Dallas Mavericks,9316796
kendall marshall,2013-14,22.0,LAL,NBA,54,45.0,1564.0,12.6,0.425,0.086,1.0,9.6,5.3,44.3,1.5,0.2,25.6,16.3,101.0,113.0,0.6,0.3,0.9,0.029,-1.3,-3.2,-4.5,-1.0,Virginia,Black and White,2013,2016,G,6-4,200,"August 19, 1991",University of North Carolina,2013-2014,341,"Kendall Marshall, PG",Los Angeles Lakers,547570
cartier martin,2013-14,29.0,TOT,NBA,59,6.0,870.0,11.0,0.572,0.246,1.7,12.8,7.3,5.9,1.6,0.6,10.4,17.1,104.0,108.0,0.5,0.8,1.3,0.07,-1.2,-1.5,-2.8,-0.2,Texas,Black,2009,2015,F,6-7,220,"November 20, 1984",Kansas State University,2013-2014,372,"Cartier Martin, PF",Chicago Bulls,104034
kenyon martin,2013-14,36.0,NYK,NBA,32,15.0,633.0,12.2,0.008,0.154,6.5,18.7,12.5,11.9,2.1,3.8,16.5,11.6,108.0,106.0,0.5,0.7,1.2,0.09,-2.0,3.1,1.1,0.5,Michigan,Black,2001,2015,F,6-9,234,"December 30, 1977",University of Cincinnati,2013-2014,317,"Kenyon Martin, PF",New York Knicks,884293
wesley matthews,2013-14,27.0,POR,NBA,82,82.0,2780.0,15.7,0.506,0.298,2.0,9.1,5.6,10.9,1.4,0.4,8.8,19.6,118.0,110.0,6.3,1.9,8.2,0.142,3.4,-0.9,2.4,3.1,Texas,Black,2010,2016,G,6-5,220,"October 14, 1986",Marquette University,2013-2014,87,"Wesley Matthews, SG",Portland Trail Blazers,6875480
oj mayo,2013-14,26.0,MIL,NBA,52,23.0,1346.0,11.2,0.413,0.16,2.0,8.8,5.3,14.6,1.1,0.8,13.9,23.0,98.0,115.0,0.0,0.0,0.1,0.002,-0.7,-3.5,-4.2,-0.7,West Virginia,Black,2009,2016,G,6-5,210,"November 5, 1987",University of Southern California,2013-2014,73,"O.J. Mayo, SG",Milwaukee Bucks,8000000
luc mbah a moute,2013-14,27.0,TOT,NBA,64,7.0,1003.0,8.3,0.088,0.347,6.0,10.1,8.0,5.1,1.5,1.1,15.2,11.2,101.0,109.0,0.2,0.8,1.0,0.049,-3.0,0.6,-2.4,-0.1,Cameroon,Black,2009,2016,F,6-8,230,"September 9, 1986","University of California, Los Angeles",2013-2014,128,"Luc Richard Mbah a Moute, PF",Sacramento Kings,4588384
ray mccallum,2013-14,22.0,SAC,NBA,45,10.0,897.0,9.7,0.197,0.143,2.2,7.8,5.0,21.0,1.2,0.8,10.9,17.6,98.0,112.0,0.0,0.4,0.4,0.02,-2.3,-1.7,-4.1,-0.5,Wisconsin,Black,2014,2016,G,6-3,190,"June 12, 1991",University of Detroit Mercy,2013-2014,344,"Ray McCallum, PG",Sacramento Kings,524616
cj mccollum,2013-14,22.0,POR,NBA,38,0.0,476.0,9.0,0.449,0.191,1.6,9.2,5.4,8.7,1.5,0.3,15.4,20.9,95.0,109.0,-0.2,0.3,0.2,0.019,-2.1,-2.0,-4.1,-0.3,Ohio,Black,2014,2016,G,6-4,200,"September 19, 1991",Lehigh University,2013-2014,216,"C.J. McCollum, SG",Portland Trail Blazers,2316720
javale mcgee,2013-14,26.0,DEN,NBA,5,5.0,79.0,10.2,0.0,0.026,13.6,9.6,11.6,4.4,0.6,6.5,17.2,25.0,87.0,108.0,-0.1,0.1,-0.1,-0.039,-5.8,-0.1,-5.9,-0.1,Michigan,Black and White,2009,2016,C,7-0,270,"January 19, 1988","University of Nevada, Reno",2013-2014,50,"JaVale McGee, C",Denver Nuggets,10750000
ben mclemore,2013-14,20.0,SAC,NBA,82,55.0,2187.0,7.7,0.437,0.211,2.7,9.5,6.1,5.8,1.0,0.7,11.5,16.9,97.0,112.0,-0.1,0.9,0.8,0.016,-1.8,-1.3,-3.2,-0.6,Missouri,Black,2014,2016,G,6-5,195,"February 11, 1993",University of Kansas,2013-2014,194,"Ben McLemore, SG",Sacramento Kings,2895960
jodie meeks,2013-14,26.0,LAL,NBA,77,70.0,2556.0,14.7,0.453,0.289,1.3,6.9,4.1,8.5,2.1,0.1,9.9,19.1,112.0,113.0,3.8,0.7,4.5,0.084,2.2,-1.4,0.7,1.8,Georgia,Black,2010,2016,G,6-4,208,"August 21, 1987",University of Kentucky,2013-2014,253,"Jodie Meeks, SG",Los Angeles Lakers,1550000
cj miles,2013-14,26.0,CLE,NBA,51,34.0,984.0,16.0,0.516,0.183,2.0,9.9,5.9,9.1,2.4,1.3,9.1,22.0,111.0,107.0,1.5,0.9,2.5,0.122,2.0,-1.2,0.7,0.7,Texas,Black,2006,2016,G-F,6-6,231,"April 18, 1987",,2013-2014,218,"C.J. Miles, SF",Cleveland Cavaliers,2225000
andre miller,2013-14,37.0,TOT,NBA,58,2.0,982.0,13.9,0.091,0.333,3.1,11.7,7.4,29.2,1.7,0.7,18.7,14.5,112.0,108.0,1.4,0.8,2.2,0.108,-1.3,-0.4,-1.8,0.1,California,Black,2000,2016,G,6-3,200,"March 19, 1976",University of Utah,2013-2014,120,"Andre Miller, PG",Washington Wizards,5000000
patrick mills,2013-14,25.0,SAS,NBA,81,2.0,1527.0,18.7,0.477,0.123,2.6,9.6,6.2,15.3,2.3,0.4,8.2,22.6,115.0,104.0,3.4,2.1,5.6,0.175,3.9,-0.6,3.3,2.0,Australia,Black,2010,2016,G,6-0,185,"August 11, 1988",Saint Mary's College of California,2013-2014,288,"Patty Mills, PG",San Antonio Spurs,1133950
paul millsap,2013-14,28.0,ATL,NBA,74,73.0,2482.0,19.8,0.202,0.373,7.2,21.9,14.6,16.2,2.6,2.5,13.2,25.7,105.0,102.0,2.7,4.0,6.7,0.129,0.7,2.4,3.1,3.2,Louisiana,Black,2007,2016,F,6-8,246,"February 10, 1985",Louisiana Tech University,2013-2014,58,"Paul Millsap, PF",Atlanta Hawks,9500000
tony mitchell 21,2013-14,21.0,DET,NBA,21,0.0,79.0,18.1,0.083,1.583,19.7,16.0,18.0,3.4,3.8,3.0,16.4,13.2,117.0,104.0,0.1,0.1,0.2,0.151,-0.1,1.4,1.3,0.1,Wisconsin,Black,2014,2014,F,6-8,235,"April 7, 1992",University of North Texas,2013-2014,346,"Tony Mitchell 21, PF",Detroit Pistons,500000
greg monroe,2013-14,23.0,DET,NBA,82,82.0,2690.0,18.1,0.001,0.362,9.9,21.6,15.4,10.3,1.7,1.4,12.4,21.4,109.0,108.0,3.7,2.3,5.9,0.106,0.0,0.4,0.3,1.6,Louisiana,Black,2011,2016,C-F,6-11,265,"June 4, 1990",Georgetown University,2013-2014,140,"Greg Monroe, C",Detroit Pistons,4086454
marcus morris,2013-14,24.0,PHO,NBA,82,1.0,1800.0,14.8,0.399,0.244,5.2,14.6,9.9,7.6,2.0,0.8,11.6,19.9,109.0,107.0,2.3,1.8,4.2,0.111,0.6,-0.5,0.2,1.0,Pennsylvania,Black,2012,2016,F,6-9,235,"September 2, 1989",University of Kansas,2013-2014,233,"Marcus Morris, PF",Phoenix Suns,1987320
markieff morris,2013-14,24.0,PHO,NBA,81,0.0,2153.0,18.4,0.128,0.387,7.3,18.0,12.6,10.9,1.6,1.8,12.9,23.2,111.0,106.0,4.0,2.4,6.4,0.143,0.5,0.4,1.0,1.6,Pennsylvania,Black,2012,2016,F,6-10,245,"September 2, 1989",University of Kansas,2013-2014,226,"Markieff Morris, PF",Phoenix Suns,2091840
anthony morrow,2013-14,28.0,NOP,NBA,76,9.0,1426.0,13.9,0.375,0.167,2.3,9.2,5.7,6.7,1.4,0.7,8.4,19.4,112.0,113.0,2.1,0.3,2.4,0.081,0.8,-3.1,-2.4,-0.1,North Carolina,Black,2009,2016,G,6-5,210,"September 27, 1985",Georgia Institute of Technology,2013-2014,302,"Anthony Morrow, SG",New Orleans Pelicans,1027424
donatas motiejunas,2013-14,23.0,HOU,NBA,62,3.0,952.0,10.7,0.284,0.324,7.4,18.2,13.1,5.5,1.0,1.6,12.7,17.8,101.0,106.0,0.3,1.0,1.4,0.069,-2.7,-0.8,-3.5,-0.4,Lithuania,White,2013,2016,F-C,7-0,222,"September 20, 1990",,2013-2014,264,"Donatas Motiejunas, PF",Houston Rockets,1422720
arnett moultrie,2013-14,23.0,PHI,NBA,12,2.0,187.0,6.7,0.0,0.132,6.1,14.4,10.1,1.5,2.1,1.7,14.8,10.7,89.0,109.0,-0.1,0.1,0.0,0.007,-6.4,-0.5,-7.0,-0.2,New York,Black,2013,2014,F,6-11,249,"November 18, 1990",Mississippi State University,2013-2014,294,"Arnett Moultrie, PF",Philadelphia 76ers,1089240
timofey mozgov,2013-14,27.0,DEN,NBA,82,30.0,1770.0,16.7,0.044,0.477,10.4,21.9,16.1,5.5,0.7,4.2,15.6,18.8,111.0,106.0,2.6,1.9,4.5,0.123,-1.5,1.0,-0.5,0.7,Russian Federation,White,2011,2016,C,7-1,275,"July 16, 1986",,2013-2014,135,"Timofey Mozgov, C",Denver Nuggets,4400000
shabazz muhammad,2013-14,21.0,MIN,NBA,37,0.0,290.0,13.1,0.089,0.323,8.8,11.2,10.0,3.4,1.4,0.3,10.2,23.1,101.0,109.0,0.1,0.2,0.3,0.053,-3.1,-3.1,-6.2,-0.3,California,Black,2014,2016,G-F,6-6,223,"November 13, 1992","University of California, Los Angeles",2013-2014,238,"Shabazz Muhammad, SF",Minnesota Timberwolves,1887120
erik murphy,2013-14,23.0,CHI,NBA,24,0.0,62.0,0.2,0.231,0.0,3.7,10.8,7.3,4.9,0.0,5.0,13.3,11.2,58.0,103.0,-0.2,0.1,-0.1,-0.055,-9.8,1.8,-8.1,-0.1,France,White,2014,2014,F,6-10,230,"October 26, 1990",University of Florida,2013-2014,356,"Erik Jay Murphy, PF",Chicago Bulls,490180
toure' murry,2013-14,24.0,NYK,NBA,51,0.0,373.0,11.1,0.093,0.302,4.0,10.1,6.9,21.5,2.7,0.2,18.9,22.5,93.0,109.0,-0.3,0.3,0.0,0.002,-3.4,-1.6,-4.9,-0.3,Texas,Black,2014,2015,G-F,6-5,195,"November 8, 1989",Wichita State University,2013-2014,349,"Toure' Murry, SF",New York Knicks,490180
mike muscala,2013-14,22.0,ATL,NBA,20,0.0,215.0,10.8,0.041,0.192,9.2,18.7,14.0,5.2,0.7,3.7,13.2,19.3,96.0,106.0,-0.1,0.2,0.2,0.04,-5.6,-0.4,-6.0,-0.2,Minnesota,White,2014,2016,F-C,6-11,240,"July 1, 1991",Bucknell University,2013-2014,371,"Mike Muscala, PF",Atlanta Hawks,138404
steve nash,2013-14,39.0,LAL,NBA,15,10.0,313.0,12.2,0.255,0.255,1.4,8.5,4.9,40.3,1.1,0.5,22.9,18.9,100.0,114.0,0.1,0.0,0.1,0.017,-2.5,-3.7,-6.2,-0.3,South Africa,White,1997,2014,G,6-3,195,"February 7, 1974",Santa Clara University,2013-2014,60,"Steve Nash, PG",Los Angeles Lakers,9300500
gary neal,2013-14,29.0,TOT,NBA,52,3.0,1114.0,12.5,0.382,0.223,1.0,8.3,4.6,13.0,0.8,0.0,11.0,23.8,102.0,113.0,0.6,0.3,1.0,0.041,-0.6,-4.0,-4.6,-0.7,Maryland,Black,2011,2016,G,6-4,210,"October 3, 1984",Towson University,2013-2014,168,"Gary Neal, PG",Charlotte Bobcats,3250000
nemanja nedovic,2013-14,22.0,GSW,NBA,24,0.0,142.0,-1.7,0.462,0.205,2.3,9.1,5.8,12.1,0.0,0.5,23.4,17.2,65.0,109.0,-0.5,0.1,-0.4,-0.132,-8.9,-1.6,-10.6,-0.3,Serbia,White,2014,2014,G,6-3,192,"June 16, 1991",,2013-2014,300,"Nemanja Nedovic, PG",Golden State Warriors,1056720
andrew nicholson,2013-14,24.0,ORL,NBA,76,5.0,1174.0,9.9,0.212,0.136,5.1,19.5,12.3,3.5,0.8,1.5,10.3,19.3,95.0,108.0,-0.4,1.0,0.6,0.025,-4.7,-2.0,-6.7,-1.4,Canada,Black,2013,2016,F,6-9,250,"December 8, 1989",St. Bonaventure University,2013-2014,260,"Andrew Nicholson, PF",Orlando Magic,1482000
joakim noah,2013-14,28.0,CHI,NBA,80,80.0,2820.0,20.0,0.003,0.419,11.6,24.5,18.2,26.4,1.9,3.3,17.0,18.7,111.0,96.0,4.5,6.6,11.2,0.19,1.1,5.5,6.6,6.1,New York,Black and White,2008,2016,C,6-11,232,"February 25, 1985",University of Florida,2013-2014,46,"Joakim Noah, C",Chicago Bulls,11100000
steve novak,2013-14,30.0,TOR,NBA,54,1.0,540.0,11.1,0.836,0.041,1.7,10.8,6.3,3.8,1.2,0.6,3.3,12.9,124.0,108.0,1.0,0.5,1.4,0.127,1.1,-1.7,-0.5,0.2,Illinois,White,2007,2016,F,6-10,225,"June 13, 1983",Marquette University,2013-2014,153,"Steve Novak, SF",Toronto Raptors,3750000
dirk nowitzki,2013-14,35.0,DAL,NBA,80,80.0,2628.0,23.6,0.258,0.295,1.8,20.0,10.9,14.2,1.4,1.4,7.5,26.9,120.0,108.0,8.6,2.3,10.9,0.199,4.1,-0.8,3.3,3.5,Germany,White,1999,2016,F,7-0,245,"June 19, 1978",,2013-2014,2,"Dirk Nowitzki, PF",Dallas Mavericks,22721381
jermaine o'neal,2013-14,35.0,GSW,NBA,44,13.0,883.0,15.3,0.0,0.532,10.7,19.1,15.0,4.2,0.8,3.4,14.5,17.8,111.0,102.0,1.3,1.4,2.7,0.146,-2.5,1.2,-1.3,0.2,South Carolina,Black,1997,2014,F-C,6-11,226,"October 13, 1978",,2013-2014,231,"Jermaine O'Neal, C",Golden State Warriors,2000000
victor oladipo,2013-14,21.0,ORL,NBA,80,44.0,2487.0,13.6,0.241,0.34,1.9,13.1,7.5,21.9,2.7,1.2,19.2,24.4,94.0,106.0,-1.4,2.8,1.3,0.026,-1.6,0.8,-0.8,0.8,Maryland,Black,2014,2016,G,6-4,210,"May 4, 1992",Indiana University,2013-2014,125,"Victor Oladipo, SG",Orlando Magic,4763760
kelly olynyk,2013-14,22.0,BOS,NBA,70,9.0,1400.0,15.2,0.227,0.243,11.0,18.8,14.8,13.1,1.3,1.5,16.0,21.0,107.0,107.0,1.5,1.4,2.9,0.101,0.3,0.2,0.5,0.9,Canada,White,2014,2016,F,7-0,238,"April 19, 1991",Gonzaga University,2013-2014,234,"Kelly Olynyk, C",Boston Celtics,1986360
zaza pachulia,2013-14,29.0,MIL,NBA,53,43.0,1325.0,14.0,0.003,0.372,11.8,17.1,14.4,16.3,1.8,0.9,18.5,17.0,105.0,111.0,1.0,0.7,1.7,0.06,-1.0,0.3,-0.7,0.4,Georgia,White,2004,2016,C,6-11,270,"February 10, 1984",,2013-2014,114,"Zaza Pachulia, C",Milwaukee Bucks,5200000
jannero pargo,2013-14,34.0,CHA,NBA,29,0.0,242.0,18.9,0.508,0.093,0.5,8.9,4.7,40.3,3.0,0.3,17.5,28.4,102.0,103.0,0.2,0.4,0.5,0.105,3.1,-2.2,0.9,0.2,Illinois,Black,2003,2015,G,6-1,175,"October 22, 1979",University of Arkansas,2013-2014,312,"Jannero Pargo, PG",Charlotte Bobcats,884293
tony parker,2013-14,31.0,SAS,NBA,68,68.0,1997.0,18.9,0.073,0.266,1.0,7.5,4.4,31.7,0.9,0.3,12.9,26.5,110.0,107.0,3.9,1.9,5.9,0.141,1.3,-1.8,-0.5,0.8,Belgium,Black and White,2002,2016,G,6-2,185,"May 17, 1982",,2013-2014,36,"Tony Parker, PG",San Antonio Spurs,12500000
chandler parsons,2013-14,25.0,HOU,NBA,74,74.0,2783.0,15.9,0.356,0.224,2.9,12.8,8.2,17.3,1.6,0.8,11.7,19.3,114.0,108.0,5.1,2.5,7.6,0.131,2.2,0.4,2.6,3.2,Florida,White,2012,2016,F,6-9,227,"October 25, 1988",University of Florida,2013-2014,309,"Chandler Parsons, SF",Houston Rockets,926500
patrick patterson,2013-14,24.0,TOT,NBA,65,13.0,1533.0,14.6,0.309,0.145,8.8,17.1,12.9,8.5,1.9,1.9,11.1,17.2,109.0,105.0,1.8,2.0,3.8,0.118,0.4,1.1,1.5,1.3,District of Columbia,Black,2011,2016,F,6-9,235,"March 14, 1989",University of Kentucky,2013-2014,185,"Patrick Patterson, PF",Toronto Raptors,3105302
chris paul,2013-14,28.0,LAC,NBA,62,62.0,2171.0,25.9,0.244,0.397,2.0,11.4,6.9,48.9,3.5,0.1,12.4,23.7,125.0,103.0,9.0,3.2,12.2,0.27,6.8,0.6,7.4,5.2,North Carolina,Black,2006,2016,G,6-0,175,"May 6, 1985",Wake Forest University,2013-2014,11,"Chris Paul, PG",Los Angeles Clippers,18668431
nikola pekovic,2013-14,28.0,MIN,NBA,54,54.0,1663.0,20.7,0.0,0.355,13.1,17.6,15.3,5.2,0.9,1.1,9.4,22.9,117.0,108.0,4.3,1.5,5.9,0.169,1.4,-1.2,0.2,0.9,Montenegro,White,2011,2016,C,6-11,307,"January 3, 1986",,2013-2014,39,"Nikola Pekovic, C",Minnesota Timberwolves,12100000
kendrick perkins,2013-14,29.0,OKC,NBA,62,62.0,1207.0,6.3,0.005,0.347,8.0,19.9,14.2,7.6,1.1,2.2,28.8,11.5,88.0,104.0,-0.9,1.7,0.8,0.031,-4.7,2.1,-2.7,-0.2,Texas ,Black,2004,2016,C,6-10,270,"November 10, 1984",,2013-2014,63,"Kendrick Perkins, C",Oklahoma City Thunder,8727437
paul pierce,2013-14,36.0,BRK,NBA,75,68.0,2098.0,16.8,0.421,0.435,1.5,18.3,9.9,14.5,2.2,1.2,15.3,22.4,109.0,106.0,2.9,2.3,5.2,0.119,1.3,0.2,1.5,1.8,California ,Black,1999,2016,F-G,6-7,235,"October 13, 1977",University of Kansas,2013-2014,18,"Paul Pierce, SF",Brooklyn Nets,15333334
mason plumlee,2013-14,23.0,BRK,NBA,70,22.0,1275.0,19.0,0.01,0.646,9.3,19.6,14.5,8.1,2.0,3.6,16.6,17.1,121.0,104.0,3.0,1.7,4.7,0.176,0.5,1.9,2.4,1.4,Indiana ,White,2014,2016,F,6-11,245,"March 5, 1990",Duke University,2013-2014,276,"Mason Plumlee, C",Brooklyn Nets,1298640
miles plumlee,2013-14,25.0,PHO,NBA,80,79.0,1964.0,14.6,0.0,0.239,11.3,24.4,17.9,3.3,1.3,3.5,15.4,16.2,104.0,104.0,1.2,2.8,4.0,0.098,-2.8,1.3,-1.5,0.2,Indiana ,White,2013,2016,C-F,6-11,249,"September 1, 1988",Duke University,2013-2014,290,"Miles Plumlee, C",Phoenix Suns,1121520
quincy pondexter,2013-14,25.0,MEM,NBA,15,2.0,270.0,10.3,0.43,0.329,4.4,7.0,5.7,11.0,1.0,0.3,14.2,18.0,104.0,110.0,0.2,0.2,0.4,0.063,-0.7,-1.9,-2.6,0.0,California ,Black,2011,2015,G-F,6-7,220,"March 10, 1988",University of Washington,2013-2014,217,"Quincy Pondexter, SF",Memphis Grizzlies,2225479
otto porter,2013-14,20.0,WAS,NBA,37,0.0,319.0,6.0,0.231,0.132,7.5,13.3,10.4,4.6,1.3,0.3,12.7,15.6,86.0,107.0,-0.4,0.3,0.0,-0.006,-5.4,-1.4,-6.8,-0.4,Missouri ,Black,2014,2016,F,6-8,198,"June 3, 1993",Georgetown University,2013-2014,138,"Otto Porter Jr., SF",Washington Wizards,4278000
